type,id,control,cc_est,cc_err,cc_p,cc_bonferroni_fdr,cc_posneg,sex_est,sex_err,sex_p,sex_bonferroni_fdr,sex_posneg,meaning,chapter,keep,factor
Sub-block,23450,LargeRare_Control,0.740548983674673,0.532162546279732,0.164048350420917,1.0,+,0.627098104265042,0.324269747831966,0.0531281399306772,1.0,+,E10 Insulin-dependent diabetes mellitus,40,True,78
Sub-block,25260,LargeRare_Control,1.07870915078683,0.762876533699721,0.157361235823498,1.0,+,-0.193694257688054,0.528106124882705,0.713789493329042,1.0,-,E53 Deficiency of other B group vitamins,40,True,78
Sub-block,26580,LargeRare_Control,0.649807883167677,0.529161065457515,0.219448319559873,1.0,+,-0.153132179971695,0.308236063866211,0.619328943335312,1.0,-,E83 Disorders of mineral metabolism,40,True,78
Sub-block,24010,LargeRare_Control,1.22848314308466,0.772308221102252,0.111685137368387,1.0,+,0.683469065692705,0.571142791135404,0.231435462773468,1.0,+,E16 Other disorders of pancreatic internal secretion,40,True,78
Sub-block,23230,LargeRare_Control,0.666299029900817,0.610558542654202,0.275143424895864,1.0,+,-1.10369535660533,0.426989854614549,0.0097427570115755,0.759935046902889,-,E05 Thyrotoxicosis [hyperthyroidism],40,True,78
Sub-block,23560,LargeRare_Control,0.633399194698308,0.20713413482079,0.002228805722567,0.17384684636022602,+,0.836652815452446,0.115640657990823,4.6574706303389e-13,3.6328270916643416e-11,+,E11 Non-insulin-dependent diabetes mellitus,40,True,78
Sub-block,23170,LargeRare_Control,-14.4271192062603,697.038472085196,0.983486773981051,1.0,-,-2.31162694531062,0.735521494852599,0.0016731682725666,0.1305071252601948,-,E04 Other non-toxic goitre,40,True,78
Sub-block,23780,LargeRare_Control,-14.6149765343521,1940.78635625095,0.993991634429554,1.0,-,1.3238404312249,1.15512804554934,0.251772338581415,1.0,+,E13 Other specified diabetes mellitus,40,True,78
Sub-block,25080,LargeRare_Control,1.30343257418344,1.09899803049083,0.235614785816509,1.0,+,1.82226152287937,1.09600244615796,0.0963837852851305,1.0,+,E46 Unspecified protein-energy malnutrition,40,True,78
Sub-block,25670,LargeRare_Control,1.03905472509185,0.2116109400479,9.09776578718912e-07,7.096257314007514e-05,+,-0.109695182841043,0.134352768544451,0.414230617906916,1.0,-,E66 Obesity,40,True,78
Sub-block,26060,LargeRare_Control,-16.7313268751593,8170.29354258787,0.998366073630603,1.0,-,-17.4573888822174,2962.21522734664,0.995297809455748,1.0,-,E74 Other disorders of carbohydrate metabolism,40,True,78
Sub-block,24870,LargeRare_Control,-13.9428274806767,1982.98004666332,0.994389920798786,1.0,-,0.224130447605721,1.41456236923871,0.87410609377272,1.0,+,E34 Other endocrine disorders,40,True,78
Sub-block,23890,LargeRare_Control,1.44289996224144,0.457873817230413,0.0016254276445757,0.1267833562769046,+,0.910984841168821,0.371018027445908,0.0140741433493082,1.0,+,E14 Unspecified diabetes mellitus,40,True,78
Sub-block,25320,LargeRare_Control,1.27834395339878,0.773809766523609,0.0985318587151995,1.0,+,-2.28015169159634,1.04144541300295,0.0285670053739238,1.0,-,E55 Vitamin D deficiency,40,True,78
Sub-block,26800,LargeRare_Control,0.278709561763385,0.522266762186152,0.59358118533783,1.0,+,0.455470338883699,0.259634973269289,0.0793839276246852,1.0,+,E86 Volume depletion,40,True,78
Sub-block,24670,LargeRare_Control,-16.7032587661987,4877.41800808628,0.997267561194815,1.0,-,17.6052077555486,1610.82586217803,0.991279849583662,1.0,+,E29 Testicular dysfunction,40,True,78
Sub-block,24210,LargeRare_Control,-14.5964925647997,1964.73061468206,0.994072363488949,1.0,-,-0.875359034101091,1.15512794898504,0.448569128835797,1.0,-,E22 Hyperfunction of pituitary gland,40,True,78
Sub-block,26340,LargeRare_Control,0.395483847694376,0.181769120901367,0.0295740897696238,1.0,+,0.457066374153607,0.0897838491694759,3.56665840027232e-07,2.7819935522124096e-05,+,E78 Disorders of lipoprotein metabolism and other lipidaemias,40,True,78
Sub-block,23020,LargeRare_Control,-16.0378815632639,8170.867021257,0.998433903056138,1.0,-,-16.7638157534434,2962.23390284356,0.995484651511765,1.0,-,E01 Iodine-deficiency-related thyroid disorders and allied conditions,40,True,78
Sub-block,25430,LargeRare_Control,0.767521213282115,1.05704475621613,0.467776879968849,1.0,+,-1.17347545824691,0.791197240005219,0.138030777922783,1.0,-,E61 Deficiency of other nutrient elements,40,True,78
Sub-block,23400,LargeRare_Control,-14.6364639251304,1982.97334584007,0.994110812141031,1.0,-,0.224240644128571,1.0004935683577,0.822656133533656,1.0,+,E07 Other disorders of thyroid,40,True,78
Sub-block,24510,LargeRare_Control,-14.5422965971747,1185.09255442287,0.990209386851508,1.0,-,1.07384782123672,0.690781868646007,0.120055740645789,1.0,+,E27 Other disorders of adrenal gland,40,True,78
Sub-block,25660,LargeRare_Control,-16.0378815632639,8170.86702125679,0.998433903056138,1.0,-,-16.7638157534436,2962.23390284364,0.995484651511765,1.0,-,E65 Localised adiposity,40,True,78
Sub-block,24460,LargeRare_Control,-13.9428274806814,1982.98004666351,0.994389920798784,1.0,-,0.224130447605722,1.41456236923872,0.87410609377272,1.0,+,E26 Hyperaldosteronism,40,True,78
Sub-block,26980,LargeRare_Control,1.22914457779605,0.630566522744058,0.0512631567049966,1.0,+,-0.639684384781462,0.489170851107261,0.190978091876247,1.0,-,"E89 Postprocedural endocrine and metabolic disorders, not elsewhere classified",40,True,78
Sub-block,23320,LargeRare_Control,-14.329518827345,1978.33851583732,0.99422080610957,1.0,-,-0.46945523329012,1.22514775086561,0.701584419167629,1.0,-,E06 Thyroiditis,40,True,78
Sub-block,24340,LargeRare_Control,-16.1370748567212,4955.14747936464,0.997401590935585,1.0,-,-16.8632801031759,1796.6630968885,0.992511254161886,1.0,-,E24 Cushing's syndrome,40,True,78
Sub-block,26720,LargeRare_Control,-17.092366054736,13263.1150790636,0.998971755041973,1.0,-,17.9936195646355,4378.78002097447,0.996721280637613,1.0,+,E85 Amyloidosis,40,True,78
Sub-block,24600,LargeRare_Control,2.29385141302528,1.22846818391555,0.0618673435925152,1.0,+,-16.844514285306,1751.93938195121,0.992328632514612,1.0,-,E28 Ovarian dysfunction,40,True,78
Sub-block,26010,LargeRare_Control,1.88794761221433,1.15864906776149,0.103220185204739,1.0,+,-17.1502387834248,1774.55028689772,0.992288920848141,1.0,-,E73 Lactose intolerance,40,True,78
Sub-block,26910,LargeRare_Control,0.7495234775248,1.05650838634408,0.478054897251859,1.0,+,-0.190520757397177,0.646315232939398,0.768162001120435,1.0,-,E88 Other metabolic disorders,40,True,78
Sub-block,26490,LargeRare_Control,-14.8586321326297,1973.22992773026,0.993991900807684,1.0,-,0.630254750329041,0.913411756299828,0.490193747768214,1.0,+,E80 Disorders of porphyrin and bilirubin metabolism,40,True,78
Sub-block,26140,LargeRare_Control,-17.0923660547527,13263.1150788026,0.998971755041952,1.0,-,17.9936195646345,4378.78002097379,0.996721280637613,1.0,+,E75 Disorders of sphingolipid metabolism and other lipid storage disorders,40,True,78
Sub-block,23070,LargeRare_Control,-16.0378815632639,8170.86702125676,0.998433903056138,1.0,-,-16.7638157534433,2962.23390284343,0.995484651511765,1.0,-,E02 Subclinical iodine-deficiency hypothyroidism,40,True,78
Sub-block,25870,LargeRare_Control,-17.0923660546604,13263.115078646,0.998971755041945,1.0,-,17.9936195646334,4378.78002097492,0.996721280637614,1.0,+,E71 Disorders of branched-chain amino-acid metabolism and fatty-acid metabolism,40,True,78
node,24320,LargeRare_Control,-17.092366054619,13263.1150783552,0.998971755041925,1.0,-,17.9936195646334,4378.7800209728,0.996721280637612,1.0,+,E23.6 Other disorders of pituitary gland,40,True,216
node,26830,LargeRare_Control,0.0912241045559471,0.597939613432031,0.87874205657449,1.0,+,-0.112336223685327,0.275107200489367,0.68302687977903,1.0,-,E87.1 Hypo-osmolality and hyponatraemia,40,True,216
node,26880,LargeRare_Control,0.732489192093406,0.531171902076602,0.167892931781113,1.0,+,-0.337729045992877,0.325774710785889,0.299877976896882,1.0,-,E87.6 Hypokalaemia,40,True,216
node,24150,LargeRare_Control,-16.4250631552666,4954.81880904816,0.997355043483019,1.0,-,-17.1513888860409,1796.65213670305,0.992383266489025,1.0,-,E21.0 Primary hyperparathyroidism,40,True,216
node,23160,LargeRare_Control,0.348445187098792,0.271096752831179,0.198681632395095,1.0,+,-1.14750010781816,0.160924994349808,9.98947041949138e-13,2.157725610610138e-10,-,"E03.9 Hypothyroidism, unspecified",40,True,216
node,23550,LargeRare_Control,0.740548983674673,0.532162546279732,0.164048350420917,1.0,+,0.627098104265042,0.324269747831966,0.0531281399306772,1.0,+,E10.9 Without complications,40,True,216
node,25290,LargeRare_Control,0.462405157685701,1.04325753989226,0.65759791313387,1.0,+,-0.253381037850403,0.570910273451533,0.65717318295152,1.0,-,E53.8 Deficiency of other specified B group vitamins,40,True,216
node,26600,LargeRare_Control,0.546882919536256,1.04686413356238,0.601391127112673,1.0,+,-0.119962938906028,0.586339878114075,0.837887587335694,1.0,-,E83.1 Disorders of iron metabolism,40,True,216
node,24180,LargeRare_Control,1.19348319765492,1.08434387091145,0.271048968673452,1.0,+,-17.7283894148416,1799.25858244566,0.992138439987186,1.0,-,"E21.3 Hyperparathyroidism, unspecified",40,True,216
node,24020,LargeRare_Control,-16.0378815632641,8170.86702125734,0.998433903056138,1.0,-,-16.7638157534436,2962.23390284374,0.995484651511765,1.0,-,E16.0 Drug-induced hypoglycaemia without coma,40,True,216
node,23310,LargeRare_Control,0.984484950764527,0.620889858183397,0.112829348140334,1.0,+,-1.45227733321742,0.546549762722381,0.0078798968570434,1.0,-,"E05.9 Thyrotoxicosis, unspecified",40,True,216
node,24280,LargeRare_Control,-16.7858733580587,8043.72749224737,0.998334953604033,1.0,-,17.6873040902562,2655.84928547766,0.994686324026793,1.0,+,E23.0 Hypopituitarism,40,True,216
node,23660,LargeRare_Control,0.6402489103362,0.207133723914947,0.0019948827300447,0.4308946696896552,+,0.826403881300985,0.115817970942417,9.65283266920285e-13,2.0850118565478155e-10,+,E11.9 Without complications,40,True,216
node,23610,LargeRare_Control,0.366118020046126,1.04026780665229,0.724878813319521,1.0,+,0.50729680953073,0.540921178142315,0.348327314277091,1.0,+,E11.4 With neurological complications,40,True,216
node,23220,LargeRare_Control,-14.2384272055274,1166.99089242023,0.990265271602995,1.0,-,-1.72441359234893,1.06950696019435,0.106887009604191,1.0,-,"E04.9 Non-toxic goitre, unspecified",40,True,216
node,23880,LargeRare_Control,-14.6149765343521,1940.78635625095,0.993991634429554,1.0,-,1.3238404312249,1.15512804554934,0.251772338581415,1.0,+,E13.9 Without complications,40,True,216
node,25080,LargeRare_Control,1.30343257418344,1.09899803049083,0.235614785816509,1.0,+,1.82226152287937,1.09600244615796,0.0963837852851305,1.0,+,E46 Unspecified protein-energy malnutrition,40,True,216
node,25710,LargeRare_Control,1.23884471478917,0.490696568808565,0.011580844992512,1.0,+,-0.221857309031752,0.357866652599153,0.535294610274254,1.0,-,E66.8 Other obesity,40,True,216
node,25720,LargeRare_Control,1.09917195714228,0.212248417202386,2.23431359025036e-07,4.826117354940778e-05,+,-0.0711292887231999,0.137311022163118,0.604447196143032,1.0,-,"E66.9 Obesity, unspecified",40,True,216
node,23600,LargeRare_Control,0.342763074411558,1.04161239913012,0.742103009703448,1.0,+,2.01529075791534,0.764221342220672,0.0083630223844579,1.0,+,E11.3 With ophthalmic complications,40,True,216
node,23580,LargeRare_Control,-14.3295188273409,1978.33851583322,0.99422080610956,1.0,-,-0.469455233290121,1.22514775086561,0.701584419167629,1.0,-,E11.1 With ketoacidosis,40,True,216
node,23190,LargeRare_Control,-14.2384272055258,1166.9908924195,0.99026527160299,1.0,-,-1.72441359234892,1.06950696019435,0.106887009604191,1.0,-,E04.1 Non-toxic single thyroid nodule,40,True,216
node,23490,LargeRare_Control,-14.3412159099918,1961.65939708301,0.994166911520858,1.0,-,0.917826325024422,1.22514779737636,0.453763430695934,1.0,+,E10.3 With ophthalmic complications,40,True,216
node,23240,LargeRare_Control,-14.7180089591692,1199.8683144412,0.990213111313334,1.0,-,-0.470443286320305,0.613179567403262,0.442951054611851,1.0,-,E05.0 Thyrotoxicosis with diffuse goitre,40,True,216
node,24950,LargeRare_Control,-16.0378815632641,8170.86702125774,0.998433903056138,1.0,-,-16.7638157534444,2962.23390284452,0.995484651511766,1.0,-,"E34.9 Endocrine disorder, unspecified",40,True,216
node,24040,LargeRare_Control,1.22848314308466,0.772308221102252,0.111685137368387,1.0,+,0.683469065692705,0.571142791135404,0.231435462773468,1.0,+,"E16.2 Hypoglycaemia, unspecified",40,True,216
node,23200,LargeRare_Control,-16.4387882173234,3003.81718337806,0.995633492637819,1.0,-,-17.1659880591928,1089.6813768022,0.987431270588916,1.0,-,E04.2 Non-toxic multinodular goitre,40,True,216
node,23930,LargeRare_Control,21.0865777608583,5163.40331532007,0.996741566164464,1.0,+,-18.4268676672062,6492.08908858437,0.997735321670145,1.0,-,E14.3 With ophthalmic complications,40,True,216
node,25340,LargeRare_Control,1.27834395339878,0.773809766523609,0.0985318587151995,1.0,+,-2.28015169159634,1.04144541300295,0.0285670053739238,1.0,-,"E55.9 Vitamin D deficiency, unspecified",40,True,216
node,26800,LargeRare_Control,0.278709561763385,0.522266762186152,0.59358118533783,1.0,+,0.455470338883699,0.259634973269289,0.0793839276246852,1.0,+,E86 Volume depletion,40,True,216
node,24690,LargeRare_Control,-16.7032587661987,4877.41800808628,0.997267561194815,1.0,-,17.6052077555486,1610.82586217803,0.991279849583662,1.0,+,E29.1 Testicular hypofunction,40,True,216
node,24230,LargeRare_Control,-16.0378815632639,8170.86702125676,0.998433903056138,1.0,-,-16.7638157534438,2962.23390284392,0.995484651511766,1.0,-,E22.1 Hyperprolactinaemia,40,True,216
node,26640,LargeRare_Control,0.756475840948202,0.748819189755147,0.312387520302876,1.0,+,-0.405582695925742,0.469898932927392,0.388067364069575,1.0,-,E83.5 Disorders of calcium metabolism,40,True,216
node,26400,LargeRare_Control,-0.0926605044822919,0.517179158842222,0.857807992402956,1.0,-,0.511214120311063,0.219991176434642,0.0201365510143481,1.0,+,"E78.5 Hyperlipidaemia, unspecified",40,True,216
node,23040,LargeRare_Control,-16.0378815632639,8170.867021257,0.998433903056138,1.0,-,-16.7638157534434,2962.23390284356,0.995484651511765,1.0,-,E01.1 Iodine-deficiency-related multinodular (endemic) goitre,40,True,216
node,25450,LargeRare_Control,1.02659118428652,1.07238837212928,0.338418774706412,1.0,+,-1.73562620007547,1.06959108850947,0.104653403282759,1.0,-,E61.1 Iron deficiency,40,True,216
node,23440,LargeRare_Control,-14.6364639251304,1982.97334584007,0.994110812141031,1.0,-,0.224240644128571,1.0004935683577,0.822656133533656,1.0,+,"E07.9 Disorder of thyroid, unspecified",40,True,216
node,26870,LargeRare_Control,-0.226260036226423,1.02503020071006,0.825298781402615,1.0,-,1.56339616593588,0.503575766638917,0.0019054310614803,0.4115731092797448,+,E87.5 Hyperkalaemia,40,True,216
node,24530,LargeRare_Control,-14.6364639251322,1982.97334583875,0.994110812141026,1.0,-,0.224240644128572,1.0004935683577,0.822656133533656,1.0,+,E27.1 Primary adrenocortical insufficiency,40,True,216
node,23620,LargeRare_Control,0.827987875872628,1.06470449879819,0.43676406515942,1.0,+,2.29821567446818,1.06112320659052,0.0303239494465268,1.0,+,E11.5 With peripheral circulatory complications,40,True,216
node,25660,LargeRare_Control,-16.0378815632639,8170.86702125679,0.998433903056138,1.0,-,-16.7638157534436,2962.23390284364,0.995484651511765,1.0,-,E65 Localised adiposity,40,True,216
node,24470,LargeRare_Control,-16.0378815632639,8170.86702125702,0.998433903056138,1.0,-,-16.7638157534439,2962.23390284404,0.995484651511766,1.0,-,E26.0 Primary hyperaldosteronism,40,True,216
node,23500,LargeRare_Control,-17.0923660546246,13263.1150787029,0.998971755041952,1.0,-,17.9936195646331,4378.78002097414,0.996721280637613,1.0,+,E10.4 With neurological complications,40,True,216
node,23180,LargeRare_Control,-16.7313268751594,8170.29354258838,0.998366073630603,1.0,-,-17.4573888822164,2962.2152273457,0.995297809455747,1.0,-,E04.0 Non-toxic diffuse goitre,40,True,216
node,26630,LargeRare_Control,-14.4413823237272,1189.67058447885,0.990314736561971,1.0,-,0.919146935068207,0.707805627087809,0.194085823381764,1.0,+,E83.4 Disorders of magnesium metabolism,40,True,216
node,24220,LargeRare_Control,-17.0923660545977,13263.1150784609,0.998971755041935,1.0,-,17.9936195646348,4378.78002097452,0.996721280637613,1.0,+,E22.0 Acromegaly and pituitary gigantism,40,True,216
node,23630,LargeRare_Control,-16.037881563264,8170.86702125711,0.998433903056138,1.0,-,-16.7638157534437,2962.23390284389,0.995484651511766,1.0,-,E11.6 With other specified complications,40,True,216
node,23360,LargeRare_Control,-14.329518827345,1978.33851583732,0.99422080610957,1.0,-,-0.46945523329012,1.22514775086561,0.701584419167629,1.0,-,E06.3 Autoimmune thyroiditis,40,True,216
node,26350,LargeRare_Control,0.437563315439349,0.185596616218553,0.0183933048268071,1.0,+,0.439249865268461,0.0931932920762445,2.43712269632041e-06,0.0005264185024052086,+,E78.0 Pure hypercholesterolaemia,40,True,216
node,24410,LargeRare_Control,-16.037881563264,8170.86702125706,0.998433903056138,1.0,-,-16.7638157534436,2962.23390284373,0.995484651511765,1.0,-,"E24.9 Cushing's syndrome, unspecified",40,True,216
node,23110,LargeRare_Control,-17.0923660546277,13263.1150786434,0.998971755041947,1.0,-,17.9936195646343,4378.78002097421,0.996721280637613,1.0,+,E03.2 Hypothyroidism due to medicaments and other exogenous substances,40,True,216
node,26770,LargeRare_Control,-17.092366054736,13263.1150790636,0.998971755041973,1.0,-,17.9936195646355,4378.78002097447,0.996721280637613,1.0,+,E85.4 Organ-limited amyloidosis,40,True,216
node,23460,LargeRare_Control,-16.0378815632641,8170.86702125773,0.998433903056138,1.0,-,-16.7638157534444,2962.23390284451,0.995484651511766,1.0,-,E10.0 With coma,40,True,216
node,24240,LargeRare_Control,-16.7313268751593,8170.29354258792,0.998366073630603,1.0,-,-17.4573888822162,2962.21522734668,0.995297809455748,1.0,-,E22.2 Syndrome of inappropriate secretion of antidiuretic hormone,40,True,216
node,26050,LargeRare_Control,1.88794761221433,1.15864906776149,0.103220185204739,1.0,+,-17.1502387834248,1774.55028689772,0.992288920848141,1.0,-,"E73.9 Lactose intolerance, unspecified",40,True,216
node,23990,LargeRare_Control,1.29238223624466,0.494451552718466,0.0089549508285581,1.0,+,0.960714472860156,0.385762637474554,0.0127588972858073,1.0,+,E14.9 Without complications,40,True,216
node,26920,LargeRare_Control,1.16600763527406,1.08271385766725,0.28151129156749,1.0,+,-0.705946040044105,0.837358277059224,0.399193037552287,1.0,-,"E88.0 Disorders of plasma-protein metabolism, not elsewhere classified",40,True,216
node,23520,LargeRare_Control,-17.0923660546246,13263.1150787029,0.998971755041952,1.0,-,17.9936195646331,4378.78002097414,0.996721280637613,1.0,+,E10.6 With other specified complications,40,True,216
node,24560,LargeRare_Control,-16.7858733580576,8043.72749226177,0.998334953604036,1.0,-,17.6873040902564,2655.84928547679,0.994686324026791,1.0,+,E27.4 Other and unspecified adrenocortical insufficiency,40,True,216
node,24300,LargeRare_Control,-16.037881563264,8170.86702125706,0.998433903056138,1.0,-,-16.7638157534436,2962.23390284373,0.995484651511765,1.0,-,E23.2 Diabetes insipidus,40,True,216
node,24160,LargeRare_Control,-16.037881563264,8170.86702125693,0.998433903056138,1.0,-,-16.763815753444,2962.2339028441,0.995484651511766,1.0,-,"E21.1 Secondary hyperparathyroidism, not elsewhere classified",40,True,216
node,23150,LargeRare_Control,-16.037881563264,8170.86702125706,0.998433903056138,1.0,-,-16.7638157534436,2962.23390284373,0.995484651511765,1.0,-,E03.8 Other specified hypothyroidism,40,True,216
node,24350,LargeRare_Control,-16.037881563264,8170.86702125706,0.998433903056138,1.0,-,-16.7638157534436,2962.23390284373,0.995484651511765,1.0,-,E24.0 Pituitary-dependent Cushing's disease,40,True,216
node,23570,LargeRare_Control,-16.7313268751594,8170.29354258835,0.998366073630603,1.0,-,-17.4573888822166,2962.21522734592,0.995297809455747,1.0,-,E11.0 With coma,40,True,216
node,24580,LargeRare_Control,-16.7858733579808,8043.72749212068,0.998334953604015,1.0,-,17.6873040902546,2655.84928547658,0.994686324026792,1.0,+,E27.8 Other specified disorders of adrenal gland,40,True,216
node,25300,LargeRare_Control,2.94084400872655,1.41626091393938,0.0378491519364683,1.0,+,0.181687427696606,1.4162575168466,0.89792185279923,1.0,+,"E53.9 Vitamin B deficiency, unspecified",40,True,216
node,26360,LargeRare_Control,-16.7858733580226,8043.72749223488,0.998334953604034,1.0,-,17.6873040902559,2655.84928547609,0.99468632402679,1.0,+,E78.1 Pure hyperglyceridaemia,40,True,216
node,26510,LargeRare_Control,-17.0923660547793,13263.1150790005,0.998971755041966,1.0,-,17.9936195646348,4378.78002097409,0.996721280637613,1.0,+,E80.1 Porphyria cutanea tarda,40,True,216
node,26890,LargeRare_Control,-0.0828419999640231,1.02803156777158,0.935773484042683,1.0,-,1.38944788591857,0.513281176610797,0.0067895954421795,1.0,+,E87.7 Fluid overload,40,True,216
node,23960,LargeRare_Control,-17.0923660546865,13263.1150786632,0.998971755041945,1.0,-,17.9936195646348,4378.78002097582,0.996721280637614,1.0,+,E14.6 With other specified complications,40,True,216
node,24630,LargeRare_Control,2.29385141302528,1.22846818391555,0.0618673435925152,1.0,+,-16.844514285306,1751.93938195121,0.992328632514612,1.0,-,E28.2 Polycystic ovarian syndrome,40,True,216
node,26840,LargeRare_Control,0.723742890214035,0.749848742777246,0.334452070889593,1.0,+,1.32022142049306,0.517375488850886,0.0107178333259984,1.0,+,E87.2 Acidosis,40,True,216
node,26900,LargeRare_Control,-16.7858733580732,8043.72749223259,0.998334953604029,1.0,-,17.6873040902583,2655.84928547737,0.994686324026792,1.0,+,"E87.8 Other disorders of electrolyte and fluid balance, not elsewhere classified",40,True,216
node,23510,LargeRare_Control,-13.9428274806653,1982.98004665704,0.994389920798773,1.0,-,0.224130447605738,1.4145623692387,0.87410609377271,1.0,+,E10.5 With peripheral circulatory complications,40,True,216
node,25700,LargeRare_Control,2.94084400872653,1.41626091393939,0.0378491519364724,1.0,+,0.181687427696603,1.41625751684662,0.897921852799233,1.0,+,E66.2 Extreme obesity with alveolar hypoventilation,40,True,216
node,26820,LargeRare_Control,-14.3276319014375,1194.43060548989,0.990429312436268,1.0,-,0.736275474493554,0.730973206810154,0.313812868414079,1.0,+,E87.0 Hyperosmolality and hypernatraemia,40,True,216
node,24360,LargeRare_Control,-16.037881563264,8170.86702125706,0.998433903056138,1.0,-,-16.7638157534436,2962.23390284373,0.995484651511765,1.0,-,E24.1 Nelson's syndrome,40,True,216
node,23590,LargeRare_Control,-17.0923660546352,13263.1150788479,0.998971755041963,1.0,-,17.9936195646353,4378.78002097515,0.996721280637614,1.0,+,E11.2 With renal complications,40,True,216
node,23480,LargeRare_Control,-16.7858733580205,8043.72749218454,0.998334953604024,1.0,-,17.6873040902564,2655.84928547661,0.994686324026791,1.0,+,E10.2 With renal complications,40,True,216
node,26620,LargeRare_Control,1.34432189045235,1.09790152729275,0.220783765414485,1.0,+,-0.484386447980852,0.866769336282848,0.576270076581011,1.0,-,E83.3 Disorders of phosphorus metabolism,40,True,216
node,26100,LargeRare_Control,-16.7313268751593,8170.29354258787,0.998366073630603,1.0,-,-17.4573888822174,2962.21522734664,0.995297809455748,1.0,-,E74.3 Other disorders of intestinal carbohydrate absorption,40,True,216
node,26370,LargeRare_Control,-13.9428274806757,1982.9800466598,0.994389920798776,1.0,-,0.224130447605716,1.41456236923872,0.874106093772723,1.0,+,E78.2 Mixed hyperlipidaemia,40,True,216
node,26990,LargeRare_Control,1.01231404845343,0.75945884329145,0.182551071966559,1.0,+,-0.57755162651265,0.540338475379074,0.285128218036441,1.0,-,E89.0 Postprocedural hypothyroidism,40,True,216
node,24500,LargeRare_Control,-17.0923660546868,13263.1150789391,0.998971755041967,1.0,-,17.9936195646359,4378.78002097468,0.996721280637613,1.0,+,"E26.9 Hyperaldosteronism, unspecified",40,True,216
node,23300,LargeRare_Control,-17.0923660546508,13263.1150790266,0.998971755041975,1.0,-,17.9936195646352,4378.78002097613,0.996721280637614,1.0,+,E05.8 Other thyrotoxicosis,40,True,216
node,26200,LargeRare_Control,-17.0923660547527,13263.1150788026,0.998971755041952,1.0,-,17.9936195646345,4378.78002097379,0.996721280637613,1.0,+,E75.5 Other lipid storage disorders,40,True,216
node,24540,LargeRare_Control,-14.341215909997,1961.65939708204,0.994166911520853,1.0,-,0.917826325024418,1.22514779737636,0.453763430695934,1.0,+,E27.2 Addisonian crisis,40,True,216
